code, e1, e2, p1, p2, form, floor_area, level, extract, trickle, extract2, trickle2, fans, horizon, gor_ehs,fuelpov,buildyear,tenure,agehr,rebate
H0012404,416.5536213,416.5536213,11.22964446,11.22964446,Bungalow,10,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatE,OwnerOccupied,CatC,TRUE
H0012406,319.2034748,319.2034748,30,30,PurposeBuiltFlatLowRise,10,1,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatD,OwnerOccupied,CatE,TRUE
H0013406,476.9087668,476.9087668,10.36816053,10.36816053,Bungalow,10,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatA,OwnerOccupied,CatC,TRUE
H0022208,449.2135576,449.2135576,19.00901942,19.00901942,EndTerrace,10,4,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatC,RSL,CatD,TRUE
H0022211,67.83741035,67.83741035,12.22525747,12.22525747,PurposeBuiltFlatLowRise,10,2,TRUE,TRUE,TRUE,TRUE,1,1,3,FALSE,CatB,OwnerOccupied,CatE,TRUE
H0022302,853.0123392,853.0123392,15.13045641,15.13045641,Detached,10,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatA,OwnerOccupied,CatE,TRUE
H0023204,439.4867918,439.4867918,12.52287024,12.52287024,Bungalow,10,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatA,OwnerOccupied,CatC,TRUE
H0024211,654.0452481,654.0452481,23.95239057,23.95239057,Detached,10,4,TRUE,TRUE,TRUE,TRUE,1,1,3,FALSE,CatA,OwnerOccupied,CatD,TRUE
H0024309,375.6358423,375.6358423,21.72602319,21.72602319,Detached,10,4,FALSE,FALSE,TRUE,TRUE,5,1,3,TRUE,CatD,OwnerOccupied,CatF,TRUE
H0031206,332.1602467,332.1602467,15.23229321,15.23229321,MidTerrace,10,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatC,OwnerOccupied,CatE,TRUE
H0032301,400.060248,400.060248,11.7555922,11.7555922,Bungalow,10,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatF,OwnerOccupied,CatC,TRUE
H0033102,305.0362899,305.0362899,9.52469068,9.52469068,PurposeBuiltFlatLowRise,10,1,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatB,OwnerOccupied,CatF,TRUE
H0033305,623.0655727,623.0655727,19.46777737,19.46777737,MidTerrace,10,4,TRUE,FALSE,TRUE,TRUE,3,1,3,TRUE,CatC,OwnerOccupied,CatE,TRUE
H0034109,238.4441949,238.4441949,8.203621935,8.203621935,Bungalow,10,4,FALSE,TRUE,TRUE,TRUE,2,1,3,FALSE,CatE,RSL,CatC,TRUE
H0034408,194.2278418,194.2278418,10.1434613,10.1434613,PurposeBuiltFlatLowRise,10,2,TRUE,TRUE,TRUE,TRUE,4,1,3,FALSE,CatA,OwnerOccupied,CatE,TRUE
H0051411,558.5478775,558.5478775,13.66231396,13.66231396,MidTerrace,10,4,FALSE,FALSE,TRUE,TRUE,1,1,3,FALSE,CatA,OwnerOccupied,CatC,TRUE
H0052402,520.5316889,520.5316889,24.45822474,24.45822474,Detached,10,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatF,OwnerOccupied,CatF,TRUE
H0052404,296.9442479,296.9442479,14.34253529,14.34253529,PurposeBuiltFlatLowRise,10,1,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatD,OwnerOccupied,CatF,TRUE
H0053101,565.0491473,565.0491473,16.07778079,16.07778079,Detached,10,4,TRUE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatD,PrivateRented,CatB,TRUE
H0061105,551.4357148,551.4357148,13.79338897,13.79338897,MidTerrace,10,4,FALSE,FALSE,TRUE,TRUE,2,1,3,TRUE,CatA,PrivateRented,CatF,TRUE
H0061405,275.2344335,275.2344335,14.04408019,14.04408019,MidTerrace,10,4,TRUE,TRUE,TRUE,TRUE,3,1,3,FALSE,CatE,OwnerOccupied,CatF,TRUE
H0062109,2666.518569,2666.518569,30,30,Detached,10,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatD,OwnerOccupied,CatC,TRUE
H0062207,548.465952,548.465952,17.2108642,17.2108642,Detached,10,4,TRUE,TRUE,TRUE,TRUE,3,1,3,FALSE,CatF,OwnerOccupied,CatB,TRUE
H0073410,338.0218579,338.0218579,12.24087819,12.24087819,EndTerrace,10,4,TRUE,TRUE,TRUE,TRUE,1,1,3,FALSE,CatF,OwnerOccupied,CatF,TRUE
H0074109,579.6064684,579.6064684,16.86004338,16.86004338,MidTerrace,10,4,FALSE,FALSE,TRUE,TRUE,5,1,3,FALSE,CatB,OwnerOccupied,CatD,TRUE
H0074201,712.9183729,712.9183729,22.32804381,22.32804381,MidTerrace,10,4,FALSE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatC,LocalAuthority,CatF,TRUE
H0081103,266.9363151,266.9363151,7.941437874,7.941437874,PurposeBuiltFlatLowRise,10,1,FALSE,FALSE,TRUE,TRUE,2,1,3,FALSE,CatD,OwnerOccupied,CatF,TRUE
H0081104,971.9143945,971.9143945,9.612160385,9.612160385,Bungalow,10,4,FALSE,FALSE,TRUE,TRUE,4,1,3,TRUE,CatD,OwnerOccupied,CatF,TRUE
H0081413,324.7424576,324.7424576,15.23276152,15.23276152,MidTerrace,10,4,FALSE,FALSE,TRUE,TRUE,4,1,3,FALSE,CatE,PrivateRented,CatF,TRUE
H0082212,299.6389971,299.6389971,9.502283778,9.502283778,PurposeBuiltFlatLowRise,10,3,TRUE,FALSE,TRUE,TRUE,3,1,3,FALSE,CatF,OwnerOccupied,CatE,TRUE
