Pollutant,Dwelling Type,Ventilation Type,"B4 (45, 45, 10)",b3,b2,b1,b0,"B4 (55, 45, 0)",b3,b2,b1,b0,"B4 (21, 33, 8)",b3,b2,b1,b0,"B4 (29, 33, 0)",b3,b2,b1,b0
INPM2_5,Flat1,TE,-1.99716623344085E-007,3.48622602483974E-006,0.0010062966,-0.0830492865,5.9986728256,-4.12421817659855E-008,-3.69381286127337E-006,0.0006325913,-0.0401681892,2.1666378849,-0.000000176,5.17531142475307E-006,0.0006536223,-0.0601974169,4.5943550323,-4.4432104377518E-008,-7.84120850737709E-007,0.0003434469,-0.0246061062,1.4137660315
INPM2_5,Flat1,E,1.77252279839978E-006,-0.0001446481,0.0051100398,-0.1510811064,7.0830127758,1.47294262339882E-006,-0.0001321317,0.004978908,-0.1202489237,2.9243616134,1.14928085293114E-006,-9.05564901139601E-005,0.0031384475,-0.1004482162,5.3478385827,9.00629307680401E-007,-8.01678758266767E-005,0.0030296082,-0.0748575046,1.8961581179
INPM2_5,Flat1,T,3.11791525116348E-006,-0.0003117736,0.0149665627,-0.554792077,24.0086810073,1.92028694283909E-006,-0.0001913519,0.0090666277,-0.3244137654,12.1065177088,2.19873088645612E-006,-0.0002198309,0.0105841224,-0.3969215104,17.6926284322,1.20469939054598E-006,-0.0001198809,0.0056871763,-0.2057075117,7.8138328944
INPM2_5,Flat1,NOTE,5.76124239014007E-006,-0.0006048688,0.0291200578,-0.9595391748,31.1088860269,4.19328624132616E-006,-0.0004457308,0.0207428389,-0.6150658367,16.0993588949,3.81230653663897E-006,-0.0004022526,0.0197348536,-0.6733994075,22.825101608,2.51090293312411E-006,-0.000270168,0.0127817619,-0.3874865369,10.3671940884
INPM2_5,Flat2,TE,8.8211694955751E-008,-7.30388263161629E-006,0.0003871131,-0.0249584987,6.6509320708,1.4512121542657E-007,-1.36216476520978E-005,0.0006191018,-0.0261579508,2.0290011093,1.31875408651179E-008,-2.95568756343759E-007,6.53893980655226E-005,-0.0116804594,5.0078422364,6.04224428559126E-008,-5.53931372334387E-006,0.00025794,-0.0126760047,1.1716395383
INPM2_5,Flat2,E,-1.17110709955416E-007,7.2993407286638E-006,7.65538988324459E-005,-0.0266489799,6.8777753736,1.19247151149345E-007,-0.000017166,0.0009817895,-0.0385140344,2.2932095821,-1.45521326862696E-007,1.35094257539656E-005,-0.0003709272,-0.0070440971,5.0899362944,5.06556978542509E-008,-6.79681973428835E-006,0.0003804183,-0.0168920923,1.2847466875
INPM2_5,Flat2,T,1.76636196108989E-007,-1.77415877740901E-005,0.0010137248,-0.0563087359,9.5715382697,1.61278251362925E-007,-1.72848898950675E-005,0.001033964,-0.0556847631,3.9939202437,8.55761374226089E-008,-8.44676733416923E-006,0.0005063381,-0.0312380848,6.9661100063,7.2829043283293E-008,-8.06770809457714E-006,0.0005231367,-0.0307201874,2.3366870448
INPM2_5,Flat2,NOTE,-1.17110709955416E-007,7.2993407286638E-006,7.65538988324459E-005,-0.0266489799,6.8777753736,1.19247151149345E-007,-0.000017166,0.0009817895,-0.0385140344,2.2932095821,-1.45521326862696E-007,1.35094257539656E-005,-0.0003709272,-0.0070440971,5.0899362944,5.06556978542509E-008,-6.79681973428835E-006,0.0003804183,-0.0168920923,1.2847466875
INPM2_5,Flat3,TE,6.0831171403393E-007,-4.54979365747092E-005,0.0013122987,-0.079341553,8.9206613194,3.83226549697341E-007,-2.48228457690828E-005,0.0006547001,-0.0635480641,5.4043068165,3.60284814620005E-007,-2.77736996536097E-005,0.0008354482,-0.0492655949,5.9753418078,1.73464128220894E-007,-1.06133742849546E-005,0.0002896413,-0.0361569992,3.0567675705
INPM2_5,Flat3,E,5.78520869082871E-007,-5.25682892433587E-005,0.0024238357,-0.1143604233,9.692248384,5.67603192509108E-007,-5.21853582393567E-005,0.0024176779,-0.1150048029,6.5859195809,3.47755247393428E-007,-3.14146398694706E-005,0.0014408089,-0.067141827,6.3403007434,3.38693575837287E-007,-3.10968071361518E-005,0.0014356979,-0.0676766621,3.7620478368
INPM2_5,Flat3,T,5.04663415197953E-006,-0.0003365993,0.0088973067,-0.4539024489,38.9118983362,3.5246256417738E-006,-0.0001972516,0.004319133,-0.3447864978,27.9145518464,3.10088898654806E-006,-0.0002150149,0.0060309884,-0.2927042838,25.1925321675,1.83762192307648E-006,-9.93563070726426E-005,0.0022311042,-0.2021380444,16.064734581
INPM2_5,Flat3,NOTE,2.1220983175522E-007,-6.47281610476564E-005,0.0054123234,-0.4028867412,38.6590626932,-2.37331527492013E-007,-2.68603319232966E-005,0.0035578106,-0.3335636685,28.2563573347,-2.42567353008298E-007,-1.06937704311458E-005,0.0026891565,-0.2467637978,24.9680826184,-6.15686681183784E-007,2.07365277420873E-005,0.0011499109,-0.1892256475,16.3338371708
