Pollutant,Dwelling Type,Ventilation Type,b4,b3,b2,b1,b0
INPM2_5,Flat1,TE,-4.124218176598546e-08,-3.693812861273366e-06,0.0006325912634010961,-0.04016818923366155,2.1666378849232935
INPM2_5,Flat1,E,1.4729426233988187e-06,-0.00013213172744144585,0.0049789080123697335,-0.12024892366740521,2.9243616133774477
INPM2_5,Flat1,T,1.9202869428390856e-06,-0.0001913519274466141,0.00906662769678688,-0.3244137654142145,12.106517708829914
INPM2_5,Flat1,NOTE,4.193286241326155e-06,-0.00044573077942608447,0.020742838857366448,-0.6150658366975021,16.099358894923856
INPM2_5,Flat2,TE,1.4512121542656956e-07,-1.3621647652097776e-05,0.0006191017514911493,-0.026157950812453354,2.0290011093268894
INPM2_5,Flat2,E,1.1924715114934525e-07,-1.7166015281280715e-05,0.000981789455379447,-0.038514034373223774,2.2932095821356917
INPM2_5,Flat2,T,1.612782513629252e-07,-1.728488989506754e-05,0.001033963981427721,-0.05568476313009562,3.9939202437175454
INPM2_5,Flat2,NOTE,1.1924715114934525e-07,-1.7166015281280715e-05,0.000981789455379447,-0.038514034373223774,2.2932095821356917
INPM2_5,Flat3,TE,3.832265496973411e-07,-2.482284576908278e-05,0.0006547000611669059,-0.06354806406677807,5.404306816535638
INPM2_5,Flat3,E,5.676031925091076e-07,-5.2185358239356734e-05,0.0024176779100806116,-0.11500480292817106,6.585919580942754
INPM2_5,Flat3,T,3.524625641773803e-06,-0.00019725164421607319,0.004319132992762348,-0.3447864978486602,27.914551846376554
INPM2_5,Flat3,NOTE,-2.3733152749201299e-07,-2.6860331923296645e-05,0.0035578106075444386,-0.3335636685420231,28.256357334689856
INPM2_5,House1,TE,2.10110363836441e-06,-0.00018239569452096804,0.006252979238757883,-0.11795106763111997,2.0704055757459945
INPM2_5,House1,E,3.6365646577720215e-06,-0.0003184909932559117,0.010876064770600683,-0.194320280244839,2.718777432853965
INPM2_5,House1,T,5.703110700475037e-06,-0.0005149210137646058,0.018691580787090305,-0.3704675386476456,5.862975622383476
INPM2_5,House1,NOTE,6.530934684282526e-06,-0.000564968048537927,0.01926627379337321,-0.34628856159776994,4.837102767914438
INPM2_5,House2,TE,2.2417458348258475e-06,-0.00020269657616501927,0.0072768195663176615,-0.1422323999777534,2.755215758930655
INPM2_5,House2,E,2.4655708160271023e-06,-0.00023729252154015845,0.009062782313331748,-0.1833912252160538,3.2577300243637994
INPM2_5,House2,T,9.039545280329539e-06,-0.000796523796430917,0.027314260345064928,-0.49185437334438364,8.01327837945588
INPM2_5,House2,NOTE,1.0143957736081257e-05,-0.0009296794864337565,0.03333848732538116,-0.6217717767315849,9.581197410570978
INPM2_5,House3,TE,1.7856277561212278e-06,-0.0001628695291361561,0.0058219363724816165,-0.10849510148130467,1.7109790298669807
INPM2_5,House3,E,2.5147109985009375e-06,-0.00023347873005390043,0.008640961596017023,-0.16661535932338453,2.280956103666364
INPM2_5,House3,T,7.13338223398614e-06,-0.0006518052505860889,0.02407913194520372,-0.4982114230817414,8.267339786107645
INPM2_5,House3,NOTE,1.3464122148365977e-05,-0.001185313384507964,0.041253650104862524,-0.7714700005094576,10.569646125791584
INPM2_5,House4,TE,-1.9095148356020408e-06,0.0001388616245682389,-0.002991524071148539,-0.007087840707272597,1.6464146633256367
INPM2_5,House4,E,-6.768479108914619e-06,0.0005334026369598095,-0.014653783781666825,0.13858008929406,1.199181069232938
INPM2_5,House4,T,-6.698988742777182e-06,0.0004708232256424756,-0.009137798601596855,-0.06675620558256122,6.342361797648342
INPM2_5,House4,NOTE,-1.0184534872734097e-05,0.0008452291795208492,-0.024099456716405596,0.19140746023845967,5.0556149765206015
INPM2_5,House5,TE,1.8968090102173667e-06,-0.00017622570504877697,0.006705585531855197,-0.14765378538350957,2.5954983229501414
INPM2_5,House5,E,3.359319266362263e-06,-0.0003036953093511469,0.011048350526376613,-0.22369410275291612,3.348851414839082
INPM2_5,House5,T,8.259299307355503e-06,-0.0007620851236840585,0.0288281021791467,-0.6309657340855288,10.5049525239008
INPM2_5,House5,NOTE,2.0349418478342458e-05,-0.0018552289710024787,0.06792255929703224,-1.364006430359369,18.792987967697165
INPM2_5,House6,TE,6.622085435332962e-07,-8.418149726464857e-05,0.00425514335323165,-0.11630666539012327,2.1409328616293695
INPM2_5,House6,E,-3.946921460067606e-06,0.0002852654399808089,-0.006256179742548193,-0.0008615119600380301,2.055261354141481
INPM2_5,House6,T,1.243622487609582e-06,-0.00019932484854564097,0.011894153059292875,-0.37038480487482706,7.346747318466384
INPM2_5,House6,NOTE,-5.340156209058097e-06,0.00032045416911222186,-0.002491074248629258,-0.2183357871796463,7.169593313786751
INPM2_5,House7,TE,3.96188787306363e-06,-0.0003539390843601786,0.01243555327781955,-0.23425262181191542,3.4006196840715095
INPM2_5,House7,E,1.0400675731617654e-05,-0.0008871128565671226,0.02890034308929796,-0.4704396496143123,4.959657121305812
INPM2_5,House7,T,1.269338789134581e-05,-0.0011125238093944753,0.03848438322450703,-0.7192636308734767,9.829231799158459
INPM2_5,House7,NOTE,3.266678189439326e-05,-0.002766475346981521,0.08940219154072665,-1.4428669476031464,14.486259503979216
ETS,Flat1,TE,4.036092831302144e-06,-0.00041157097542344405,0.018705520008101516,-0.5463147767802227,13.523891294379224
ETS,Flat1,E,1.6869509928217646e-05,-0.0015445230511161266,0.058452908749429155,-1.2917785127316845,21.595675002573582
ETS,Flat1,T,2.5997231326891712e-05,-0.0022567402617982473,0.07697745078517487,-1.4096277889824262,19.41373318232278
ETS,Flat1,NOTE,0.00034063382175606035,-0.027052353355788344,0.7838809402834256,-10.257444590330527,64.95421065390694
ETS,Flat2,TE,1.9667291068561395e-06,-0.00019458778283459925,0.009332090071845416,-0.3327226813282993,10.559690231636361
ETS,Flat2,E,5.0482529201896345e-06,-0.0005032328374766496,0.02207729492392342,-0.6292417422415181,14.819045403923173
ETS,Flat2,T,4.759218737245521e-06,-0.0004535771517968845,0.019106317834974886,-0.5323157823081536,12.90139162156032
ETS,Flat2,NOTE,5.0482529201896345e-06,-0.0005032328374766496,0.02207729492392342,-0.6292417422415181,14.819045403923173
ETS,Flat3,TE,-5.9411443420951666e-06,0.0003456204631437987,-0.00031278347047391196,-0.46999320402532363,20.952590028629555
ETS,Flat3,E,4.189670312390457e-06,-0.00044885288246981653,0.022140233185509738,-0.7514635271844166,23.590297009991335
ETS,Flat3,T,1.7040102643483105e-05,-0.001878811945252323,0.0857267003277324,-2.2001904914623323,40.388941134297816
ETS,Flat3,NOTE,4.1083883876320136e-05,-0.003718275870307611,0.13635900081895044,-2.837757188957618,45.97915995697646
ETS,House1,TE,1.0819682443526717e-05,-0.0009389975998382024,0.03158063664564443,-0.5424240802004026,7.030739413195562
ETS,House1,E,4.789759085434595e-05,-0.00395538093643823,0.12180745972181127,-1.7614664289007054,14.388504005463915
ETS,House1,T,1.393342289639234e-05,-0.0011821215573887141,0.038349687755551934,-0.6274040616734307,7.736280993698978
ETS,House1,NOTE,7.889055507662492e-05,-0.0063210322131642014,0.18605382003447873,-2.5065481202170417,17.801977499598966
ETS,House2,TE,1.7358140097655264e-05,-0.0014471043386126339,0.04554309920877296,-0.7000860867818011,8.011485805258994
ETS,House2,E,3.844406866650632e-05,-0.003174970398238198,0.0979216233026089,-1.4288391632548643,12.720848193241583
ETS,House2,T,2.017270175368422e-05,-0.0016957241249911659,0.05388967999921408,-0.8354889019909466,9.192900831925595
ETS,House2,NOTE,8.511795238306911e-05,-0.006773653237631959,0.19687658746416015,-2.590981062379171,18.154621717451658
ETS,House3,TE,2.00570697702701e-05,-0.001689046455809931,0.05429439227090826,-0.8704086756598308,9.088670108906383
ETS,House3,E,6.531986245533843e-05,-0.005337480322656775,0.16112990879467193,-2.244615656208695,16.23220567807118
ETS,House3,T,2.463906089825591e-05,-0.002070927263865137,0.06584621715186975,-1.0262443951575548,10.11658380901817
ETS,House3,NOTE,0.00011045563904245696,-0.00878110829037469,0.25446656695610437,-3.312209590624192,20.83798801599214
ETS,House4,TE,1.0950199321130263e-05,-0.0009174243136575627,0.029048641313867658,-0.4484428646197063,5.059513497249035
ETS,House4,E,5.399660865134868e-05,-0.004294699048911325,0.12440407825013221,-1.614985772317708,10.80273318368785
ETS,House4,T,1.2668310590902252e-05,-0.0010608119766726892,0.03355558094088368,-0.5179821793792291,5.724912133831855
ETS,House4,NOTE,6.20125943918676e-05,-0.00491753886722847,0.14198949262534924,-1.8396249509794,12.211118699289726
ETS,House5,TE,1.2373557881257981e-05,-0.0010462847941361945,0.033615999503759944,-0.5292173872855565,4.952653820385019
ETS,House5,E,2.5583534226777164e-05,-0.0021280776113216564,0.0663235185762927,-0.9780522655121728,7.597501209381826
ETS,House5,T,1.3685763486031328e-05,-0.001151254125704627,0.03671249292927877,-0.5723199880994532,5.294858101466859
ETS,House5,NOTE,9.36350982243436e-05,-0.00740011375371572,0.2124931651908219,-2.72086935655818,15.948822409365686
ETS,House6,TE,9.879141744227002e-06,-0.0008482586370651234,0.028291276232728407,-0.49250992681164935,6.66935618736642
ETS,House6,E,4.561535840100136e-05,-0.003699390702213485,0.1107135420505826,-1.5383005144221458,12.287539065987467
