disease,age,sex,agesex,n_a,n_b,n_c,p_a,p_b,p_c,morbidity
CardiovascularCold,0,MALE,0MALE,0.0010519947,-0.0010520323,3.75927157822332E-008,0.0010519947,-0.0010520323,3.75911635610864E-008,0.1674876605
CardiovascularCold,1,MALE,1MALE,0.0010554196,-0.0010554622,4.26498257122735E-008,0.0010554196,-0.0010554622,4.26484838603688E-008,0.1674876605
CardiovascularCold,2,MALE,2MALE,0.0010950295,-0.0010950798,5.03280342537898E-008,0.0010950295,-0.0010950798,5.03273102811927E-008,0.1674876605
CardiovascularCold,3,MALE,3MALE,0.001171636,-0.0011716971,6.10989565339406E-008,0.001171636,-0.0011716971,6.10975843980216E-008,0.1674876605
CardiovascularCold,4,MALE,4MALE,0.0012782098,-0.0012782852,7.53194429936685E-008,0.0012782098,-0.0012782852,7.53173524150228E-008,0.1674876605
CardiovascularCold,5,MALE,5MALE,0.001406148,-0.0014062414,9.3387192060439E-008,0.001406148,-0.0014062414,9.33866480364374E-008,0.3744656321
CardiovascularCold,6,MALE,6MALE,0.0015580191,-0.0015581354,1.16290255701844E-007,0.0015580191,-0.0015581354,1.16288865368518E-007,0.3744656321
CardiovascularCold,7,MALE,7MALE,0.0017357752,-0.0017359204,1.45213959795738E-007,0.0017357752,-0.0017359204,1.45212882962135E-007,0.3744656321
CardiovascularCold,8,MALE,8MALE,0.0019422616,-0.0019424433,1.81703462429067E-007,0.0019422616,-0.0019424433,1.81700200016297E-007,0.3744656321
CardiovascularCold,9,MALE,9MALE,0.0021713535,-0.0021715805,0.000000227,0.0021713535,-0.0021715805,0.000000227,0.3744656321
CardiovascularCold,10,MALE,10MALE,0.002425408,-0.0024256908,2.82875345321691E-007,0.002425408,-0.0024256908,2.82865518319689E-007,0.3744656321
CardiovascularCold,11,MALE,11MALE,0.002706788,-0.0027071396,3.51639332257175E-007,0.002706788,-0.0027071396,3.51622436703561E-007,0.3744656321
CardiovascularCold,12,MALE,12MALE,0.0030188882,-0.0030193246,4.36448819510827E-007,0.0030188881,-0.0030193246,4.36425547516734E-007,0.3744656321
CardiovascularCold,13,MALE,13MALE,0.0033658719,-0.0033664132,5.41340317099627E-007,0.0033658719,-0.0033664132,5.41306606558222E-007,0.3744656321
CardiovascularCold,14,MALE,14MALE,0.003747399,-0.0037480692,6.70198706294511E-007,0.0037473989,-0.0037480691,6.70153066259617E-007,0.3744656321
CardiovascularCold,15,MALE,15MALE,0.0041669779,-0.0041678057,8.27864230713962E-007,0.0041669778,-0.0041678056,8.27802867565616E-007,0.1854976253
CardiovascularCold,16,MALE,16MALE,0.0046286052,-0.0046296253,1.02008736093029E-006,0.0046286051,-0.0046296251,0.00000102,0.1854976253
CardiovascularCold,17,MALE,17MALE,0.005136895,-0.0051381495,1.25450778558628E-006,0.0051368949,-0.0051381493,1.25439592127372E-006,0.1854976253
CardiovascularCold,18,MALE,18MALE,0.0056983075,-0.0056998483,1.5407216333564E-006,0.0056983074,-0.005699848,1.54057008814525E-006,0.1854976253
CardiovascularCold,19,MALE,19MALE,0.0063177791,-0.0063196677,1.88860143617578E-006,0.0063177789,-0.0063196673,1.88839530351953E-006,0.1854976253
CardiovascularCold,20,MALE,20MALE,0.0069953055,-0.0069976119,2.30637523328719E-006,0.0069953052,-0.0069976113,2.3060981699016E-006,0.1854976253
CardiovascularCold,21,MALE,21MALE,0.0077335693,-0.0077363723,0.000002803,0.007733569,-0.0077363716,2.80267607824477E-006,0.1854976253
CardiovascularCold,22,MALE,22MALE,0.0085423823,-0.0085457824,3.40008949980826E-006,0.0085423818,-0.0085457814,3.39959860201053E-006,0.1854976253
CardiovascularCold,23,MALE,23MALE,0.0094297504,-0.0094338742,4.1238110716715E-006,0.0094297498,-0.0094338729,4.12315810690273E-006,0.1854976253
CardiovascularCold,24,MALE,24MALE,0.0103971991,-0.0104021944,4.99529538512763E-006,0.0103971982,-0.0104021926,4.99442276775348E-006,0.1854976253
CardiovascularCold,25,MALE,25MALE,0.0114507837,-0.0114568244,6.0406505195287E-006,0.0114507826,-0.0114568221,6.03948912099047E-006,0.1854976253
CardiovascularCold,26,MALE,26MALE,0.0125961296,-0.0126034271,7.29745332274168E-006,0.0125961281,-0.0126034241,7.29590955371705E-006,0.1854976253
CardiovascularCold,27,MALE,27MALE,0.0138453255,-0.0138541461,8.82067257197069E-006,0.0138453235,-0.0138541421,8.81861296208564E-006,0.1854976253
CardiovascularCold,28,MALE,28MALE,0.0152061497,-0.0152168115,1.06618134188055E-005,0.0152061471,-0.0152168061,1.0659062581957E-005,0.1854976253
CardiovascularCold,29,MALE,29MALE,0.0166806582,-0.0166935251,1.28668856731617E-005,0.0166806547,-0.0166935179,1.28632169990076E-005,0.1854976253
CardiovascularCold,30,MALE,30MALE,0.0182735361,-0.0182890316,1.54955543235201E-005,0.0182735314,-0.0182890221,1.5490684322323E-005,0.1364337125
CardiovascularCold,31,MALE,31MALE,0.0199847924,-0.0200034083,1.86159314965348E-005,0.0199847862,-0.0200033957,1.86094825212506E-005,0.1364337125
CardiovascularCold,32,MALE,32MALE,0.0218186213,-0.0218409385,2.23172505018842E-005,0.0218186132,-0.0218409219,2.23087375752637E-005,0.1364337125
CardiovascularCold,33,MALE,33MALE,0.0237905293,-0.0238172505,2.67211962470021E-005,0.0237905186,-0.0238172286,0.00002671,0.1364337125
CardiovascularCold,34,MALE,34MALE,0.0258989673,-0.0259309306,3.19632948715799E-005,0.0258989532,-0.0259309017,3.1948463992058E-005,0.1364337125
CardiovascularCold,35,MALE,35MALE,0.0281593275,-0.0281975373,3.8209796647311E-005,0.0281593089,-0.0281974991,3.81901995430562E-005,0.1364337125
CardiovascularCold,36,MALE,36MALE,0.0305685658,-0.0306141763,4.5610481503011E-005,0.0305685412,-0.0306141258,4.55846123706064E-005,0.1364337125
CardiovascularCold,37,MALE,37MALE,0.0331382441,-0.0331925858,5.43417014679508E-005,0.0331382117,-0.0331925193,5.4307630115277E-005,0.1364337125
CardiovascularCold,38,MALE,38MALE,0.0358727054,-0.0359373204,6.46150548159339E-005,0.0358726628,-0.0359372331,6.45702683466402E-005,0.1364337125
CardiovascularCold,39,MALE,39MALE,0.0387383488,-0.0388149952,7.66464068746277E-005,0.0387382929,-0.0388148805,7.65876389578666E-005,0.1364337125
