Exposure,Dwelling_Type,Vtype,case_base,case_modified,b0,b1,b2,b3,b4
Radon,Flat1a,NOTE,1,1,357.87,-57.25,4.372,-0.15076,0.001897
Radon,Flat1a,T,2,2,100.99,-7.63,0.4183,-0.01226,0.000141
Radon,Flat1a,E,3,3,89.8,-4.88,0.2135,-0.00554,0.00006
Radon,Flat1a,TE,4,4,56.54,-1.98,0.0628,-0.00133,0.000013
Radon,Flat1b,NOTE,5,5,178.93,-28.62,2.186,-0.07538,0.000949
Radon,Flat1b,T,6,6,50.49,-3.82,0.2092,-0.00613,0.00007
Radon,Flat1b,E,7,7,44.9,-2.44,0.1068,-0.00277,0.00003
Radon,Flat1b,TE,8,8,28.27,-0.99,0.0314,-0.00067,0.000006
Radon,Flat1c,NOTE,9,9,0,0,0,0,0
Radon,Flat1c,T,10,10,0,0,0,0,0
Radon,Flat1c,E,11,11,0,0,0,0,0
Radon,Flat1c,TE,12,12,0,0,0,0,0
Radon,Flat2a,NOTE,13,13,65.38,-2.59,0.0904,-0.00202,0.00002
Radon,Flat2a,T,14,14,67.18,-2.73,0.0986,-0.00231,0.000024
Radon,Flat2a,E,15,15,65.38,-2.59,0.0904,-0.00202,0.00002
Radon,Flat2a,TE,16,16,47.55,-1.34,0.037,-0.00074,0.000007
Radon,Flat2b,NOTE,17,17,32.69,-1.3,0.0452,-0.00101,0.00001
Radon,Flat2b,T,18,18,33.59,-1.36,0.0493,-0.00116,0.000012
Radon,Flat2b,E,19,19,32.69,-1.3,0.0452,-0.00101,0.00001
Radon,Flat2b,TE,20,20,23.78,-0.67,0.0185,-0.00037,0.000004
Radon,Flat2c,NOTE,21,21,0,0,0,0,0
Radon,Flat2c,T,22,22,0,0,0,0,0
Radon,Flat2c,E,23,23,0,0,0,0,0
Radon,Flat2c,TE,24,24,0,0,0,0,0
Radon,Flat3a,NOTE,25,25,206.6,-12.2,0.5758,-0.01559,0.000172
Radon,Flat3a,T,26,26,180.6,-9.22,0.3407,-0.00713,0.000062
Radon,Flat3a,E,27,27,93.69,-2.14,0.0495,-0.0009,0.000008
Radon,Flat3a,TE,28,28,84.06,-1.12,-0.0333,0.002,-0.000028
Radon,Flat3b,NOTE,29,29,103.3,-6.1,0.2879,-0.0078,0.000086
Radon,Flat3b,T,30,30,90.3,-4.61,0.1704,-0.00356,0.000031
Radon,Flat3b,E,31,31,46.85,-1.07,0.0248,-0.00045,0.000004
Radon,Flat3b,TE,32,32,42.03,-0.56,-0.0166,0.001,-0.000014
Radon,Flat3c,NOTE,33,33,0,0,0,0,0
Radon,Flat3c,T,34,34,0,0,0,0,0
Radon,Flat3c,E,35,35,0,0,0,0,0
Radon,Flat3c,TE,36,36,0,0,0,0,0
Radon,House1,NOTE,37,37,99.22,-15.99,1.2316,-0.04257,0.000536
Radon,House1,T,38,38,38.91,-3.82,0.2416,-0.00754,0.000089
Radon,House1,E,39,39,70.7,-9.23,0.6432,-0.02101,0.000255
Radon,House1,TE,40,40,34.1,-2.99,0.1785,-0.00538,0.000062
Radon,House2,NOTE,41,41,100,-15.41,1.1977,-0.04174,0.000528
Radon,House2,T,42,42,47.48,-4.86,0.3298,-0.01076,0.000131
Radon,House2,E,43,43,63.27,-7.18,0.4961,-0.01625,0.000198
Radon,House2,TE,44,44,38.02,-3.15,0.1967,-0.00616,0.000073
Radon,House3,NOTE,45,45,86.5,-14.17,1.0936,-0.03786,0.000477
Radon,House3,T,46,46,38.9,-4.1,0.2623,-0.00823,0.000098
Radon,House3,E,47,47,53.98,-6.57,0.4377,-0.01394,0.000167
Radon,House3,TE,48,48,32.75,-2.98,0.1767,-0.00531,0.000062
Radon,House4,NOTE,49,49,75.36,-11.9,0.9241,-0.03214,0.000406
Radon,House4,T,50,50,33.76,-3.29,0.2124,-0.00672,0.00008
Radon,House4,E,51,51,59.36,-8.49,0.6363,-0.0217,0.000271
Radon,House4,TE,52,52,28.42,-2.5,0.1555,-0.00482,0.000057
Radon,House5,NOTE,53,53,139.32,-23.77,1.8565,-0.06469,0.000819
Radon,House5,T,54,54,42.71,-4.31,0.267,-0.00823,0.000097
Radon,House5,E,55,55,55.96,-6.25,0.3988,-0.01242,0.000147
Radon,House5,TE,56,56,38.63,-3.64,0.2185,-0.00663,0.000077
Radon,House6,NOTE,57,57,60.03,-8.86,0.665,-0.02286,0.000288
Radon,House6,T,58,58,24.92,-2.24,0.1324,-0.00398,0.000046
Radon,House6,E,59,59,33.76,-3.78,0.2522,-0.00811,0.000098
Radon,House6,TE,60,60,19.99,-1.49,0.0793,-0.00223,0.000025
Radon,House7,NOTE,61,61,96.27,-15.76,1.2169,-0.04217,0.000532
Radon,House7,T,62,62,38.37,-3.77,0.2362,-0.00738,0.000088
Radon,House7,E,63,63,63.05,-7.97,0.5433,-0.01757,0.000212
Radon,House7,TE,64,64,32.11,-2.65,0.1503,-0.00443,0.000051
