age,sex,population,all,cerebrovascular,cerebrovascular_ratio,cardiopulmonary,cardiopulmonary_ratio,lungcancer,lungcancer_ratio,myocardialinfarction,myocardialinfarction_ratio,wincerebrovascular,wincerebrovascular_ratio,wincardiovascular,wincardiovascular_ratio,winmyocardialinfarction,winmyocardialinfarction_ratio
0,MALE,358100,538,0,0.04,41.79563679,2.061,0,0.005,0,0.002,0,0.04,1.204363211,0.167,0,0.002
1,MALE,359400,118,0,0.04,30.11302192,2.061,0,0.005,0,0.002,0,0.04,0.886978082,0.167,0,0.002
2,MALE,345200,66,0,0.04,18.43040705,2.061,0,0.005,0,0.002,0,0.04,0.569592954,0.167,0,0.002
3,MALE,334200,51,0,0.04,11.62373489,2.061,0,0.005,0,0.002,0,0.04,0.376265108,0.167,0,0.002
4,MALE,326700,36,0,0.04,9.693005456,2.061,0,0.005,0,0.002,0,0.04,0.306994544,0.167,0,0.002
5,MALE,322800,35,0,0.09,7.76227602,1.462,0,0.006,0,0.003,0,0.09,0.23772398,0.374,0,0.003
6,MALE,312300,31,0,0.09,5.831546584,1.462,0,0.006,0,0.003,0,0.09,0.168453416,0.374,0,0.003
7,MALE,301700,21,0,0.09,3.900817147,1.462,0,0.006,0,0.003,0,0.09,0.099182853,0.374,0,0.003
8,MALE,301000,34,0,0.09,4.080980577,1.462,0,0.006,0,0.003,0,0.09,0.119019423,0.374,0,0.003
9,MALE,309300,36,0,0.09,4.261144006,1.462,0,0.006,0,0.003,0,0.09,0.138855994,0.374,0,0.003
10,MALE,317700,28,0,0.09,4.441307436,1.462,0,0.006,0,0.003,0,0.09,0.158692564,0.374,0,0.003
11,MALE,322800,34,0,0.09,4.621470865,1.462,0,0.006,0,0.003,0,0.09,0.178529135,0.374,0,0.003
12,MALE,332200,38,0,0.09,4.801634295,1.462,0,0.006,0,0.003,0,0.09,0.198365705,0.374,0,0.003
13,MALE,330200,35,0,0.09,5.550625971,1.462,0,0.006,0.185831021,0.003,0,0.09,0.249374029,0.374,0.014168979,0.003
14,MALE,333000,45,0,0.09,6.299617646,1.462,0,0.006,0.371662042,0.003,0,0.09,0.300382354,0.374,0.028337958,0.003
15,MALE,342200,57,0,0.332,7.048609322,0.449,0,0.007,0.557493063,0.12,0,0.332,0.351390678,0.185,0.042506937,0.12
16,MALE,349400,76,0,0.332,7.797600998,0.449,0,0.007,0.743324084,0.12,0,0.332,0.402399002,0.185,0.056675916,0.12
17,MALE,363500,129,0,0.332,8.546592674,0.449,0,0.007,0.929155105,0.12,0,0.332,0.453407326,0.185,0.070844895,0.12
18,MALE,374800,182,0.185831021,0.332,9.706919533,0.449,0.2,0.007,0.929155105,0.12,0.014168979,0.332,0.493080467,0.185,0.070844895,0.12
19,MALE,374500,157,0.371662042,0.332,10.86724639,0.449,0.4,0.007,0.929155105,0.12,0.028337958,0.332,0.532753608,0.185,0.070844895,0.12
20,MALE,373500,198,0.557493063,0.332,12.02757325,0.449,0.6,0.007,0.929155105,0.12,0.042506937,0.332,0.572426749,0.185,0.070844895,0.12
21,MALE,385000,229,0.743324084,0.332,13.18790011,0.449,0.8,0.007,0.929155105,0.12,0.056675916,0.332,0.612099891,0.185,0.070844895,0.12
22,MALE,384700,211,0.929155105,0.332,14.34822697,0.449,1,0.007,0.929155105,0.12,0.070844895,0.332,0.651773032,0.185,0.070844895,0.12
23,MALE,384700,237,1.300817147,0.332,15.84904412,0.449,1,0.007,0.929155105,0.12,0.099182853,0.332,0.750955884,0.185,0.070844895,0.12
24,MALE,397000,227,1.672479189,0.332,17.34986126,0.449,1,0.007,0.929155105,0.12,0.127520811,0.332,0.850138737,0.185,0.070844895,0.12
25,MALE,388400,223,2.044141232,0.332,18.85067841,0.449,1,0.007,0.929155105,0.12,0.155858768,0.332,0.949321589,0.185,0.070844895,0.12
26,MALE,378600,221,2.415803274,0.332,20.35149556,0.449,1,0.007,0.929155105,0.12,0.184196726,0.332,1.048504442,0.185,0.070844895,0.12
27,MALE,364700,237,2.787465316,0.332,21.85231271,0.449,1,0.007,0.929155105,0.12,0.212534684,0.332,1.147687295,0.185,0.070844895,0.12
28,MALE,374400,239,3.159127358,0.332,24.47094977,0.449,1,0.007,1.486648168,0.12,0.240872642,0.332,1.329050225,0.185,0.113351832,0.12
29,MALE,372700,288,3.5307894,0.332,27.08958684,0.449,1,0.007,2.044141232,0.12,0.2692106,0.332,1.510413156,0.185,0.155858768,0.12
30,MALE,356700,311,3.902451442,0.314,29.70822391,0.205,1,0.005,2.601634295,0.104,0.297548558,0.314,1.691776086,0.136,0.198365705,0.104
31,MALE,339300,305,4.274113484,0.314,32.32686098,0.205,1,0.005,3.159127358,0.104,0.325886516,0.314,1.873139017,0.136,0.240872642,0.104
32,MALE,334900,315,4.645775526,0.314,34.94549805,0.205,1,0.005,3.716620421,0.104,0.354224474,0.314,2.054501947,0.136,0.283379579,0.104
33,MALE,342600,299,6.504085737,0.314,41.3771046,0.205,2.2,0.005,4.645775526,0.104,0.495914263,0.314,2.4228954,0.136,0.354224474,0.104
34,MALE,351200,354,8.362395947,0.314,47.80871115,0.205,3.4,0.005,5.574930632,0.104,0.637604053,0.314,2.791288853,0.136,0.425069368,0.104
35,MALE,355300,343,10.22070616,0.314,54.24031769,0.205,4.6,0.005,6.504085737,0.104,0.779293842,0.314,3.159682305,0.136,0.495914263,0.104
36,MALE,371200,384,12.07901637,0.314,60.67192424,0.205,5.8,0.005,7.433240842,0.104,0.920983632,0.314,3.528075758,0.136,0.566759158,0.104
37,MALE,387400,456,13.93732658,0.314,67.10353079,0.205,7,0.005,8.362395947,0.104,1.062673421,0.314,3.896469211,0.136,0.637604053,0.104
38,MALE,397900,546,17.28228496,0.314,81.26189344,0.205,9.8,0.005,9.477382074,0.104,1.317715042,0.314,4.73810656,0.136,0.722617926,0.104
39,MALE,396600,589,20.62724334,0.314,95.42025609,0.205,12.6,0.005,10.5923682,0.104,1.572756663,0.314,5.57974391,0.136,0.8076318,0.104
