aacode	floorx	SAP_hhsizex
H0324316	104.11	2.774454891
H0324317	77.78	2.419388467
H0324401	82.35	2.50593932
H0324405	36.36	1.313309471
H0324406	145.75	2.927325781
H0324407	89.09	2.613058741
H0324408	84.57	2.543878257
H0324411	48.98	1.660114364
H0324412	120.5	2.865225702
H0331104	52.62	1.767358496
H0331107	34.5	1.269055507
H0331207	58.43	1.936913608
H0331209	128.46	2.890884323
H0331210	91.39	2.644272026
H0331216	112.26	2.827732376
H0331301	59.15	1.957501831
H0331304	87.58	2.591126115
H0331307	145.7	2.92724197
H0331317	76.77	2.398718135
H0331320	81.63	2.493061376
H0331405	77.82	2.420195632
H0331409	63.61	2.081649233
H0332105	92.43	2.6575416
H0332113	95.03	2.688508906
H0332120	25.35	1.0935989
H0332201	61.21	2.015631187
H0332207	119.35	2.860767747
H0332209	78.24	2.428618036
H0332212	88.52	2.604915867
H0332215	60.62	1.999109094
H0332220	81.77	2.495587543
H0332223	79.03	2.444198506
H0332309	93.26	2.667765069
H0332315	65.19	2.123950818
H0332319	113.19	2.832678015
H0333102	104.39	2.776618518
H0333103	65.16	2.123156896
H0333107	59.43	1.965472856
H0333108	75.6	2.374080041
H0333110	106.77	2.793983551
H0333116	75.58	2.37365244
H0333117	58.47	1.938060715
H0333119	64.96	2.117854695
H0333202	135.6	2.908195155
H0333203	235.39	3.047936935
H0333206	69.46	2.232943621
H0333208	53.42	1.790934885
H0333218	49.01	1.660994863
H0333219	64.11	2.095141469
H0333221	64.32	2.100779507
H0333304	89.55	2.619510908
H0333306	58.72	1.945221454
H0333307	52.49	1.763524772
H0333308	90.52	2.632771388
H0333309	172.75	2.96624141
H0333310	35.81	1.299970912
H0333311	85.73	2.562651465
H0333312	81.32	2.487429657
H0333316	71.9	2.291354388
H0333317	111.26	2.822181196
H0333319	62.42	2.049165187
H0333321	38.32	1.362435149
H0333403	61.1	2.012558981
H0333404	191.01	2.990212018
H0333409	82.19	2.503101948
H0333420	49.63	1.679212652
H0334101	126.59	2.885568633
H0334106	125.64	2.882716956
H0334110	110.61	2.818438259
H0334113	77.22	2.407996399
H0334114	75.47	2.371296784
H0334119	160.52	2.9496351
H0334205	84.8	2.547657421
H0334213	128.77	2.891729691
H0334302	69.98	2.245639206
H0334303	85.76	2.563127517
H0334307	96.07	2.700044785
H0334315	130.29	2.895737802
H0334317	80.9	2.479715829
H0334318	75.2	2.365487105
H0334406	195.05	2.995476305
H0334412	67.89	2.19382857
H0341103	23.01	1.062088888
H0341107	80.36	2.469656242
H0341111	58.49	1.938634127
H0341201	81.63	2.493061376
H0341202	66.49	2.157992199
H0341203	107.21	2.797000526
H0341207	80.97	2.481008165
H0341208	64.16	2.096485415
H0341210	59.58	1.969734501
H0341212	67.06	2.172688469
H0341301	135.25	2.907438371
H0341303	79.6	2.455227695
H0341305	82.17	2.502746298
H0341407	203.55	3.006538777
H0342101	82.47	2.508058215
H0342105	61.5	2.023712202
H0342107	98.88	2.728913024
H0342114	125.43	2.882072006
H0342120	73.86	2.336076691
H0342202	83.88	2.532370893
H0342204	78.63	2.43635239
H0342209	65.78	2.139488894
H0342213	42.13	1.464029295
H0342219	33.8	1.253054379
H0342302	215.94	3.022650856
H0342309	69.85	2.242477658
H0342311	189.34	2.988033951
H0342317	259.05	3.078694999
H0342405	94.17	2.678607471
H0342407	148.16	2.931276839
H0342409	81.63	2.493061376
H0342415	169.33	2.961675433
H0342419	147.61	2.930389706
H0343101	40.23	1.41246221
